,Pelayanan Umum,Pertahanan,Ketertiban dan Keamanan,Ekonomi,Lingkungan Hidup,Perumahan dan Fasilitas Umum,Kesehatan,Pariwisata,Agama,Pendidikan,Perlindungan Sosial,Pelayanan Umum,Pertahanan,Ketertiban dan Keamanan,Ekonomi,Lingkungan Hidup,Perumahan dan Fasilitas Umum,Kesehatan,Pariwisata,Agama,Pendidikan,Perlindungan Sosial,Pelayanan Umum,Pertahanan,Ketertiban dan Keamanan,Ekonomi,Lingkungan Hidup,Perumahan dan Fasilitas Umum,Kesehatan,Pariwisata,Agama,Pendidikan,Perlindungan Sosial,Pelayanan Umum,Pertahanan,Ketertiban dan Keamanan,Ekonomi,Lingkungan Hidup,Perumahan dan Fasilitas Umum,Kesehatan,Pariwisata,Agama,Pendidikan,Perlindungan Sosial,Pelayanan Umum,Pertahanan,Ketertiban dan Keamanan,Ekonomi,Lingkungan Hidup,Perumahan dan Fasilitas Umum,Kesehatan,Pariwisata,Agama,Pendidikan,Perlindungan Sosial,Pelayanan Umum,Pertahanan,Ketertiban dan Keamanan,Ekonomi,Lingkungan Hidup,Perumahan dan Fasilitas Umum,Kesehatan,Pariwisata,Agama,Pendidikan,Perlindungan Sosial,Pelayanan Umum,Pertahanan,Ketertiban dan Keamanan,Ekonomi,Lingkungan Hidup,Perumahan dan Fasilitas Umum,Kesehatan,Pariwisata,Agama,Pendidikan,Perlindungan Sosial,Pelayanan Umum,Pertahanan,Ketertiban dan Keamanan,Ekonomi,Lingkungan Hidup,Perumahan dan Fasilitas Umum,Kesehatan,Pariwisata,Agama,Pendidikan,Perlindungan Sosial,Pelayanan Umum,Pertahanan,Ketertiban dan Keamanan,Ekonomi,Lingkungan Hidup,Perumahan dan Fasilitas Umum,Kesehatan,Pariwisata,Agama,Pendidikan,Perlindungan Sosial,Pelayanan Umum,Pertahanan,Ketertiban dan Keamanan,Ekonomi,Lingkungan Hidup,Perumahan dan Fasilitas Umum,Kesehatan,Pariwisata,Agama,Pendidikan,Perlindungan Sosial,Pelayanan Umum,Pertahanan,Ketertiban dan Keamanan,Ekonomi,Lingkungan Hidup,Perumahan dan Fasilitas Umum,Kesehatan,Pariwisata,Agama,Pendidikan,Perlindungan Sosial,Pelayanan Umum,Pertahanan,Ketertiban dan Keamanan,Ekonomi,Lingkungan Hidup,Perumahan dan Fasilitas Umum,Kesehatan,Pariwisata,Agama,Pendidikan,Perlindungan Sosial,Pelayanan Umum,Pertahanan,Ketertiban dan Keamanan,Ekonomi,Lingkungan Hidup,Perumahan dan Fasilitas Umum,Kesehatan,Pariwisata,Agama,Pendidikan,Perlindungan Sosial,Pelayanan Umum,Pertahanan,Ketertiban dan Keamanan,Ekonomi,Lingkungan Hidup,Perumahan dan Fasilitas Umum,Kesehatan,Pariwisata,Agama,Pendidikan,Perlindungan Sosial,Pelayanan Umum,Pertahanan,Ketertiban dan Keamanan,Ekonomi,Lingkungan Hidup,Perumahan dan Fasilitas Umum,Kesehatan,Pariwisata,Agama,Pendidikan,Perlindungan Sosial,Pelayanan Umum,Pertahanan,Ketertiban dan Keamanan,Ekonomi,Lingkungan Hidup,Perumahan dan Fasilitas Umum,Kesehatan,Pariwisata,Agama,Pendidikan,Perlindungan Sosial,Pelayanan Umum,Pertahanan,Ketertiban dan Keamanan,Ekonomi,Lingkungan Hidup,Perumahan dan Fasilitas Umum,Kesehatan,Pariwisata,Agama,Pendidikan,Perlindungan Sosial,Pelayanan Umum,Pertahanan,Ketertiban dan Keamanan,Ekonomi,Lingkungan Hidup,Perumahan dan Fasilitas Umum,Kesehatan,Pariwisata,Agama,Pendidikan,Perlindungan Sosial,Pelayanan Umum,Pertahanan,Ketertiban dan Keamanan,Ekonomi,Lingkungan Hidup,Perumahan dan Fasilitas Umum,Kesehatan,Pariwisata,Agama,Pendidikan,Perlindungan Sosial,Pelayanan Umum,Pertahanan,Ketertiban dan Keamanan,Ekonomi,Lingkungan Hidup,Perumahan dan Fasilitas Umum,Kesehatan,Pariwisata,Agama,Pendidikan,Perlindungan Sosial,Pelayanan Umum,Pertahanan,Ketertiban dan Keamanan,Ekonomi,Lingkungan Hidup,Perumahan dan Fasilitas Umum,Kesehatan,Pariwisata,Agama,Pendidikan,Perlindungan Sosial,Pelayanan Umum,Pertahanan,Ketertiban dan Keamanan,Ekonomi,Lingkungan Hidup,Perumahan dan Fasilitas Umum,Kesehatan,Pariwisata,Agama,Pendidikan,Perlindungan Sosial,Pelayanan Umum,Pertahanan,Ketertiban dan Keamanan,Ekonomi,Lingkungan Hidup,Perumahan dan Fasilitas Umum,Kesehatan,Pariwisata,Agama,Pendidikan,Perlindungan Sosial,Pelayanan Umum,Pertahanan,Ketertiban dan Keamanan,Ekonomi,Lingkungan Hidup,Perumahan dan Fasilitas Umum,Kesehatan,Pariwisata,Agama,Pendidikan,Perlindungan Sosial,Pelayanan Umum,Pertahanan,Ketertiban dan Keamanan,Ekonomi,Lingkungan Hidup,Perumahan dan Fasilitas Umum,Kesehatan,Pariwisata,Agama,Pendidikan,Perlindungan Sosial,Pelayanan Umum,Pertahanan,Ketertiban dan Keamanan,Ekonomi,Lingkungan Hidup,Perumahan dan Fasilitas Umum,Kesehatan,Pariwisata,Agama,Pendidikan,Perlindungan Sosial,Pelayanan Umum,Pertahanan,Ketertiban dan Keamanan,Ekonomi,Lingkungan Hidup,Perumahan dan Fasilitas Umum,Kesehatan,Pariwisata,Agama,Pendidikan,Perlindungan Sosial,Pelayanan Umum,Pertahanan,Ketertiban dan Keamanan,Ekonomi,Lingkungan Hidup,Perumahan dan Fasilitas Umum,Kesehatan,Pariwisata,Agama,Pendidikan,Perlindungan Sosial,Pelayanan Umum,Pertahanan,Ketertiban dan Keamanan,Ekonomi,Lingkungan Hidup,Perumahan dan Fasilitas Umum,Kesehatan,Pariwisata,Agama,Pendidikan,Perlindungan Sosial,Pelayanan Umum,Pertahanan,Ketertiban dan Keamanan,Ekonomi,Lingkungan Hidup,Perumahan dan Fasilitas Umum,Kesehatan,Pariwisata,Agama,Pendidikan,Perlindungan Sosial,Pelayanan Umum,Pertahanan,Ketertiban dan Keamanan,Ekonomi,Lingkungan Hidup,Perumahan dan Fasilitas Umum,Kesehatan,Pariwisata,Agama,Pendidikan,Perlindungan Sosial,Pelayanan Umum,Pertahanan,Ketertiban dan Keamanan,Ekonomi,Lingkungan Hidup,Perumahan dan Fasilitas Umum,Kesehatan,Pariwisata,Agama,Pendidikan,Perlindungan Sosial,Pelayanan Umum,Pertahanan,Ketertiban dan Keamanan,Ekonomi,Lingkungan Hidup,Perumahan dan Fasilitas Umum,Kesehatan,Pariwisata,Agama,Pendidikan,Perlindungan Sosial,Pelayanan Umum,Pertahanan,Ketertiban dan Keamanan,Ekonomi,Lingkungan Hidup,Perumahan dan Fasilitas Umum,Kesehatan,Pariwisata,Agama,Pendidikan,Perlindungan Sosial
2010,401,33,91,255,59,150,23,2,9,281,14,0,0,0,0,0,0,0,0,0,0,0,398,58,65,454,77,244,32,3,8,478,21,826,175,137,462,62,140,48,5,8,266,11,337,0,25,485,49,222,20,1,8,303,9,772,82,126,1029,105,323,61,2,10,709,23,1626,453,170,1593,118,348,41,5,12,991,13,1394,327,133,503,59,359,49,4,21,3408,15,689,172,61,1038,75,292,17,2,8,328,26,1374,348,147,829,151,528,57,4,12,1145,19,1091,330,93,1110,78,220,34,4,10,765,18,1343,80,125,944,148,466,38,2,12,1776,24,507,107,74,501,49,230,19,3,9,439,14,8199,3997,562,3775,1190,1422,336,13,51,10181,51,1726,324,138,629,162,368,332,12,10,1496,26,966,158,146,840,78,420,40,2,15,857,19,907,139,112,594,102,317,44,5,12,1006,18,1105,209,111,916,93,363,196,8,9,1030,19,644,112,97,432,72,335,41,1,13,688,22,1442,239,179,801,137,556,320,9,16,2400,26,1016,160,108,757,88,541,63,5,11,1384,23,1981,737,152,1943,112,773,70,7,11,701,34,1340,237,159,648,127,319,49,4,14,1478,21,1929,813,171,1160,150,595,330,5,16,1825,24,2743,707,216,813,114,783,54,7,24,1997,23,1259,271,146,750,90,447,71,3,13,1262,22,1412,360,167,1025,131,863,74,3,12,1198,34,3372,1004,329,2187,183,964,518,5,19,3430,33,800,113,98,539,111,500,28,3,13,757,19,1566,312,111,537,242,210,342,11,11,2065,27,3139,987,247,2072,233,832,390,12,23,3764,34,5752,1745,477,2968,798,1571,846,28,54,8324,46,8002,3056,550,4082,1068,1378,747,18,46,9530,63,46361,29576,9390,20682,1578,3829,12673,1218,393,17756,2665
2011,341,33,101,603,70,167,44,2,12,207,14,0,0,0,0,0,0,0,0,0,0,0,353,58,103,783,89,295,45,6,13,402,22,762,175,120,511,83,152,54,10,12,163,12,263,0,43,1057,92,244,21,2,11,181,9,719,82,152,1778,190,345,40,3,17,650,22,1205,453,235,3596,315,369,41,10,19,760,15,1192,327,178,1149,93,335,66,13,31,3070,16,549,172,60,1411,147,329,23,7,11,302,26,1070,348,225,1780,292,554,70,7,19,850,21,787,330,137,2104,124,309,34,12,14,674,17,1032,80,186,1739,280,547,55,6,17,1195,15,433,107,96,1162,87,266,22,6,12,353,24,4409,3997,760,5003,600,1410,190,34,73,8474,636,1672,324,202,1850,493,178,59,40,16,1122,24,793,158,158,1657,152,385,43,3,19,685,21,786,139,167,1354,165,278,40,20,19,815,19,1238,209,169,1781,183,371,46,13,19,923,21,563,112,140,912,131,302,37,4,17,592,21,1550,239,307,1974,180,451,56,17,22,1929,26,826,160,166,1689,168,410,62,3,18,1068,25,1293,737,207,3646,161,621,94,12,15,526,39,1110,237,196,1226,254,368,42,4,22,1017,23,1540,813,251,3294,285,659,107,34,24,1275,26,1596,707,287,2012,576,620,69,29,39,2124,24,971,271,222,1223,239,339,57,7,21,1145,24,1057,360,232,2513,322,898,82,7,24,728,39,2665,1004,372,3503,529,850,135,29,38,2637,36,687,113,137,1546,199,463,39,4,20,574,14,1416,312,171,893,267,198,50,58,18,2912,35,2249,987,377,4904,428,698,99,83,38,2960,45,4398,1745,730,6054,668,1374,189,126,71,5816,76,4913,3056,757,6496,957,1141,175,30,73,8522,93,64712,29576,14417,30552,2252,7670,11463,2257,595,19651,3105
2012,454,39,162,570,81,169,47,6,37,336,13,0,0,0,0,0,0,0,0,0,0,0,731,74,169,697,102,272,50,10,33,481,25,922,102,181,1009,84,169,49,10,35,271,13,500,0,47,978,115,278,40,2,43,298,13,875,6,278,1802,177,417,76,4,51,765,21,1404,495,366,3949,265,360,82,10,69,1053,18,1426,403,258,1070,129,390,102,16,121,3885,17,970,187,77,1939,161,438,75,2,36,374,26,1249,573,365,1902,283,565,132,10,73,1100,25,974,341,311,1895,151,380,87,10,44,861,21,1284,211,322,1485,320,546,96,4,83,1693,19,543,128,187,1215,121,289,57,13,36,453,27,5202,2621,1184,5116,948,1396,295,50,245,10473,1151,2099,470,413,1443,377,247,123,43,42,1503,24,948,177,336,1768,170,432,78,3,55,876,29,1043,158,288,995,221,262,69,17,70,1038,23,1669,193,272,1770,201,412,123,12,50,1117,25,725,135,218,861,162,345,71,3,68,725,20,1872,266,399,1891,156,437,173,23,100,2399,27,1233,178,305,1938,193,518,117,4,72,1443,30,1590,844,429,4094,178,972,185,14,48,629,40,1203,286,362,1369,273,286,73,7,80,1322,26,2292,705,447,2503,244,668,159,7,80,1754,29,1594,791,487,1794,239,840,115,17,132,2234,26,1243,311,420,1281,217,314,92,5,87,1331,28,1612,322,393,3150,277,1734,187,5,93,1105,46,2893,1032,683,4858,398,859,267,10,128,3566,44,843,140,259,1496,212,528,79,3,68,809,17,2258,493,321,859,232,254,139,55,70,3082,42,3000,1094,617,4081,476,756,222,43,140,3171,49,6667,2097,1060,6263,698,1509,354,54,281,7609,80,7403,3597,1170,6181,1135,1285,339,15,328,9434,100,71667,54004,17409,30516,2459,8148,11411,1969,619,36409,3485
2013,597,49,178,587,87,149,48,3,36,253,12,0,0,0,0,0,0,0,0,0,0,0,753,92,189,1032,92,282,52,3,35,490,21,1129,250,208,1731,100,176,48,2,35,250,14,517,0,53,740,137,256,42,2,40,309,13,1009,157,304,2240,183,391,90,3,54,763,18,1698,630,404,5800,276,495,89,2,72,983,17,1819,614,318,1317,142,327,91,3,115,3697,18,1110,228,69,2511,211,506,89,5,38,379,24,1423,599,439,2606,352,1078,102,4,71,1189,21,1205,551,332,2084,197,406,102,3,43,792,18,1534,390,351,1663,337,502,111,4,100,1551,16,767,131,205,1406,148,309,65,3,40,437,26,6065,5013,1368,5535,859,1556,364,9,272,10893,1945,2504,541,434,1525,435,261,103,3,51,1687,21,1108,216,338,2355,184,496,94,4,54,797,30,1155,141,325,1235,280,280,81,3,74,1030,24,1809,236,321,2596,224,396,150,4,93,1044,25,805,146,243,1001,170,339,76,3,72,793,20,2192,349,429,2170,180,540,148,3,98,2514,22,1542,254,333,1960,200,493,131,8,76,1492,29,2034,993,484,5279,236,1122,200,4,50,567,32,1403,321,385,1560,269,253,94,3,78,1332,23,2570,688,493,2665,251,583,144,3,98,1766,28,1850,641,558,2303,199,796,122,3,152,2428,28,1363,338,392,1663,218,319,100,3,89,1403,26,1761,365,405,2640,322,1033,200,7,86,891,41,3428,1363,827,5451,454,759,187,7,135,3399,38,1010,93,280,1822,224,536,96,4,69,732,32,2301,476,335,1075,234,311,116,5,82,3402,35,3479,1196,675,4399,506,678,204,5,160,3584,48,6970,2477,1286,9761,781,1471,464,10,296,7925,81,9041,3324,1289,7077,551,1301,462,4,361,10069,100,88537,58909,22236,35088,3410,12323,13028,2377,970,49561,4570
2014,746,6,213,539,89,177,51,1,37,252,12,43,0,4,51,0,67,0,0,0,34,0,1176,6,226,1320,95,339,59,1,36,493,15,1260,148,274,2060,97,227,72,1,35,256,12,777,0,70,880,149,326,45,2,42,306,16,1287,5,354,2288,197,418,93,4,61,744,16,2077,910,497,4987,256,386,103,4,125,1018,17,2104,210,428,1235,146,366,113,1,119,3885,19,1589,14,72,3760,197,520,98,10,37,406,31,1881,712,485,2403,281,656,110,1,74,1178,17,1616,604,358,2960,155,536,122,5,42,815,19,2155,123,457,1343,300,673,135,4,102,1763,17,1144,8,241,2222,138,352,73,2,35,406,23,7518,4526,1558,4765,916,1944,449,15,301,11514,592,2671,1028,517,1370,316,409,111,14,43,1719,21,1473,0,424,2222,167,567,98,4,57,792,25,1681,0,378,1391,232,289,81,1,79,1182,23,2096,75,363,2849,220,437,130,4,54,1081,23,1065,10,322,842,148,354,82,2,70,703,19,2409,49,559,2178,177,684,145,4,152,2869,21,1804,14,387,2625,246,692,127,7,79,1530,27,3047,1339,539,7537,241,1101,220,4,50,486,38,1799,60,470,1351,273,287,100,4,82,1428,23,3161,1118,565,2319,242,659,188,3,110,1764,27,2499,944,674,2602,198,941,147,2,150,2598,28,1646,10,492,1722,184,367,118,4,89,1782,23,2240,58,461,3135,271,1190,212,14,53,855,41,4405,1864,975,4300,462,1012,237,8,221,3352,37,1403,9,322,1873,225,607,100,19,70,762,26,2403,184,399,1889,246,417,143,4,79,3515,34,4311,1607,800,3892,460,801,274,6,155,3988,45,8659,2472,1370,7070,547,1879,520,4,338,9230,83,9871,2910,1631,6832,541,1600,527,5,381,10229,108,94848,65282,21066,39462,3766,10208,7991,1888,1104,58317,6587
2015,447,55,288,832,77,157,60,5,45,340,12,187,148,59,1221,13,47,12,2,22,122,2,460,131,272,1986,68,194,58,3,51,589,18,995,336,410,2591,96,159,101,4,40,377,13,337,0,135,1328,87,184,46,1,58,365,14,751,161,486,2619,178,246,87,4,77,957,19,1285,767,630,3173,178,255,91,3,86,1203,19,1206,507,616,1601,154,184,163,3,133,3924,20,768,216,163,4016,166,181,80,7,49,576,29,1167,799,662,2818,223,340,114,7,88,1436,19,1015,686,521,3930,142,194,93,3,54,982,26,1109,416,667,2466,206,220,124,4,126,2053,22,587,161,372,2359,129,249,60,3,46,511,29,4890,6470,2415,5080,656,511,440,14,344,13066,596,1597,771,744,1911,266,143,606,5,58,1954,22,898,194,576,2879,153,284,105,3,86,1113,32,782,202,526,1586,192,179,91,3,104,1307,25,1164,307,540,3366,146,228,339,5,57,1263,25,606,158,384,1382,125,269,79,2,83,851,22,1320,345,823,2763,184,282,424,8,238,3497,22,936,248,538,2857,169,276,106,14,162,1839,34,1546,1442,751,7199,184,227,134,6,52,665,40,1165,281,698,1514,256,178,105,3,102,1597,23,1555,1017,818,2891,223,448,645,8,132,2113,30,1485,1276,904,3479,164,406,133,5,187,3353,28,1165,369,654,1870,150,195,110,5,178,1927,26,1254,414,662,3409,265,404,132,9,62,1113,46,2565,1893,1316,4393,339,295,596,9,180,3587,43,812,172,453,2491,168,324,88,7,83,975,28,1334,652,559,2208,159,203,541,6,117,2091,41,2343,1729,1171,4916,330,471,626,8,252,4451,52,4307,2704,2081,6502,375,365,1497,12,439,10072,116,4877,4803,2223,9367,1141,644,1342,9,462,9154,139,96083,66994,21992,40522,3319,11527,11887,1736,1034,66799,6689
2016,179,84,549,847,58,260,153,2,72,320,13,122,183,232,1610,15,352,63,2,33,143,9,163,168,499,2123,56,389,145,3,135,677,17,594,387,774,2820,93,268,227,5,80,340,15,184,0,260,1838,62,358,104,1,113,400,16,280,179,997,3044,163,422,169,2,172,972,21,442,874,1155,3577,176,257,270,6,123,1164,19,565,598,1183,2188,204,305,363,3,242,4423,21,305,268,772,4097,130,626,190,3,100,605,27,437,932,1302,3735,237,479,234,5,163,1604,21,288,781,949,4327,108,565,282,3,122,945,23,451,491,1309,3521,215,396,271,5,239,2117,27,197,201,653,2932,84,497,162,4,112,537,33,1825,7349,5509,7495,587,818,938,6,802,13170,552,479,868,1483,1818,221,326,953,12,104,2085,24,359,244,1051,3280,145,417,210,3,163,1059,31,302,226,954,2222,198,378,164,4,216,1293,25,404,341,989,4001,142,483,782,4,121,1389,29,232,179,749,1541,116,337,155,3,192,885,25,443,380,1399,3510,157,556,954,7,256,2978,53,331,264,1106,3449,183,376,211,7,162,2079,35,607,1607,1586,8029,170,725,377,9,127,737,74,484,311,1344,1828,223,453,214,3,172,1558,30,609,1098,1672,4546,218,661,1190,4,247,2100,34,544,1460,1770,4032,150,651,311,3,336,3481,28,379,446,1337,2691,163,345,301,3,290,2116,64,465,465,1436,4562,297,475,279,8,176,1101,48,974,2055,2651,7020,349,594,1216,4,348,3651,50,290,212,877,3189,170,591,179,3,142,982,34,531,753,1175,1612,168,265,1017,7,184,3006,80,778,1882,2430,6297,306,759,1300,4,444,5018,81,1468,2997,4701,9708,554,769,3001,8,803,9476,123,2210,5397,4841,11609,1543,749,2446,8,1085,10647,191,57743,65968,54444,74746,3926,17746,48385,7279,1707,66748,14513
2017,164,87,576,715,58,183,120,2,129,372,12,129,211,250,1710,12,224,38,1,46,153,10,147,165,576,1949,55,247,113,2,87,571,17,537,439,962,3115,80,180,211,1,80,356,14,133,0,565,1163,52,204,109,1,136,379,14,258,187,1044,2004,191,289,168,1,142,980,20,379,995,1260,3085,201,220,179,1,128,1158,17,435,627,1256,2097,190,277,382,2,212,4308,19,300,604,767,3347,153,470,157,1,118,602,28,376,1101,1406,3390,211,432,174,1,192,1504,20,254,889,1059,2984,107,271,172,1,125,1084,24,361,501,1437,2595,192,347,221,1,265,2037,19,171,201,641,2058,59,402,132,2,153,646,32,1457,8177,5933,8428,688,924,717,2,774,13344,496,423,973,1608,1668,238,248,827,1,121,2023,20,303,241,1265,3140,154,370,171,1,201,1051,26,255,357,1063,1706,197,377,145,1,158,1398,22,336,745,1032,3967,147,357,757,1,172,1508,25,202,190,775,1394,106,215,141,1,136,895,22,392,370,1477,2920,165,383,861,2,300,3235,44,266,276,1241,2473,174,354,159,2,157,2126,29,520,1749,1786,7457,170,571,282,1,161,919,60,418,329,1504,1408,231,325,194,1,170,1718,25,502,1362,1798,4064,253,519,1138,2,249,2464,29,472,1554,1851,3038,139,465,241,1,373,3515,25,320,456,1365,2436,155,280,215,1,226,1865,47,408,468,1460,4192,276,411,219,2,191,1209,40,831,2429,2814,7273,352,465,1093,13,441,4054,45,252,215,985,2685,165,297,150,2,159,990,28,461,899,1318,2110,196,256,975,1,173,3057,88,737,2117,2575,5342,355,582,1162,2,430,4195,73,1186,3342,5431,10965,599,707,2697,2,791,9530,109,1759,6371,5380,10682,1521,680,2284,1,932,9833,163,56719,69665,63069,64609,3740,16229,45119,5335,1596,59847,17228
2018,164,95,664,754,104,189,116,2,75,405,13,129,210,350,2067,15,276,30,2,45,177,14,147,180,702,1662,84,242,135,2,107,755,20,537,469,957,3795,131,230,204,2,87,399,17,133,255,498,1059,88,296,135,2,146,505,17,258,186,1150,2016,283,289,196,2,132,994,21,379,962,1362,2784,271,356,244,2,110,1336,19,435,637,1512,2531,250,232,356,2,214,4011,21,300,547,815,3129,192,491,168,2,92,738,35,376,1055,1592,3785,335,416,264,2,194,1708,22,254,881,1198,3051,161,347,188,2,201,1130,19,361,515,1631,3228,275,346,333,2,295,2222,25,171,219,779,2202,100,443,159,2,119,636,32,1457,8012,6656,9565,1134,1028,1171,2,752,13656,41,423,964,1816,2349,326,378,1029,190,130,2104,22,303,249,1269,2884,227,382,241,2,173,1112,30,255,315,1187,1854,278,451,201,2,153,1453,28,336,679,1157,4306,173,475,919,2,121,1672,31,202,196,921,1058,154,250,191,2,131,943,25,392,384,1674,2729,205,508,960,2,321,3306,49,266,304,1444,2618,321,408,233,229,175,2052,33,520,1687,1834,6908,203,696,289,2,129,964,56,418,349,1791,1962,288,380,240,2,178,1880,26,502,1304,2051,4180,330,581,1198,245,230,2663,35,472,1769,2169,3329,210,507,348,2,318,3913,28,320,469,1525,2801,250,360,299,2,254,2134,47,408,483,1731,4450,336,484,395,12,173,1232,49,831,2326,3157,7309,557,560,1153,203,352,4321,44,252,231,1047,2588,192,489,216,2,157,1116,33,461,944,1424,2721,244,259,1165,2,172,3125,77,737,1902,2881,6052,481,710,1455,127,474,4598,73,1186,3178,5427,12535,891,1132,3108,28,754,9525,114,1759,6261,5647,13273,1803,662,2535,165,902,10328,180,56719,69605,71919,62261,4389,15748,45191,4239,1606,60236,40858
2019,353,146,766,466,144,178,109,2,116,376,12,405,313,534,1928,30,471,35,2,65,379,14,349,340,753,1170,260,219,135,2,122,836,20,786,659,1043,3532,158,215,200,2,97,622,14,377,271,512,1286,133,308,94,2,190,697,14,703,255,1243,2309,360,310,160,2,162,1092,22,801,1498,1561,3214,338,246,184,2,159,1830,22,1107,920,1691,2756,289,384,374,2,260,5476,18,925,1089,927,3687,245,448,173,2,136,1025,24,967,1615,1678,2324,540,725,189,2,195,2340,21,623,1397,1232,2776,191,340,185,2,166,1724,22,1141,737,1847,3632,413,402,312,2,297,2793,19,529,315,860,1850,136,465,131,2,160,943,31,4063,11069,7497,10565,1234,1485,962,2,866,15955,36,732,1466,1951,2335,287,522,1166,190,154,2562,22,810,355,1494,2833,363,616,221,2,204,1514,30,664,435,1291,2217,349,454,185,2,190,1665,27,821,1249,1334,3967,221,319,1073,2,169,1862,30,542,266,1047,993,264,317,165,2,168,1118,25,973,548,1779,3359,232,988,1151,2,381,4023,76,734,424,1728,2768,365,412,221,229,211,2378,32,2391,2450,2097,7050,274,1985,253,2,180,1032,79,995,489,1861,1811,447,489,194,2,211,2287,26,1279,1857,2296,4719,479,602,1323,245,309,2990,33,1510,2300,2391,3230,349,543,290,2,411,4679,31,859,647,1636,3304,363,312,264,2,282,2343,84,1198,680,1754,4331,398,693,292,12,230,1446,46,2249,3289,3777,6647,800,999,1215,203,473,4676,46,799,338,1243,2592,261,493,174,2,202,1568,36,762,1228,1530,3046,294,352,1441,2,199,3501,126,1599,2796,3107,5781,768,822,1617,127,601,5152,95,3414,4455,5674,12056,1113,1764,3258,28,886,11363,118,4355,8632,6639,17334,1850,1437,2767,165,1171,11432,231,68951,69311,83897,58633,3795,10273,54510,4239,1982,60372,57919
2020,225,137,724,480,98,139,72,2,83,386,5,171,306,447,1128,29,347,18,2,48,181,5,201,182,703,1131,147,241,94,2,128,654,9,729,648,1038,2996,96,568,149,2,85,393,6,197,281,596,513,89,186,71,2,155,591,8,415,252,1260,1537,374,178,111,2,141,1077,8,460,1466,1439,2837,314,218,137,2,125,1661,11,494,929,1655,2106,188,224,305,2,215,4514,8,414,1263,889,2295,215,339,81,2,110,781,9,446,1570,1629,1725,450,482,130,2,195,1773,12,273,1477,1252,1962,147,257,121,2,140,1219,12,401,279,1695,2286,276,284,187,2,256,2403,11,203,307,846,1251,117,183,86,2,188,703,20,2099,11706,7171,8288,986,1052,859,3,723,14859,25,515,1458,1889,1796,239,307,1205,3,124,2264,14,425,30,1458,1816,257,626,152,2,186,1315,17,507,457,1245,1385,311,274,142,2,162,1671,17,468,1140,1263,1825,181,287,813,3,136,1708,18,291,271,951,774,170,150,124,2,210,927,17,563,551,1720,1990,186,435,961,2,343,3677,38,308,430,1424,2972,259,453,157,3,200,2329,20,801,2448,2046,4751,226,1447,157,2,171,917,42,565,497,1819,1234,330,333,146,2,191,2014,17,534,2252,2190,3071,438,399,1183,2,260,2637,23,556,2295,2325,2335,229,324,233,2,373,4003,18,415,666,1637,1579,389,259,207,2,204,2416,35,593,691,1631,3894,296,926,206,83,173,1473,34,1082,3362,3730,5265,549,865,990,86,394,4410,34,353,341,1144,1794,217,373,114,2,229,1351,46,533,1218,1505,1496,253,379,1310,3,185,2998,56,972,3290,3002,3430,568,539,1484,2,464,4396,93,1812,4468,5494,7032,896,1206,2998,78,782,10690,104,1959,8685,6150,13962,1448,962,2276,2,995,10172,269,60850,79318,70287,45217,2702,6378,65169,2756,1286,52451,103542
2021,243,140,886,878,110,235,94,2,114,383,3,199,455,631,2383,49,475,37,2,61,446,3,183,188,869,1479,143,265,104,2,108,661,4,580,789,1117,3404,111,265,188,2,95,538,4,183,205,786,1393,106,278,99,2,161,640,4,369,307,1370,10567,327,363,136,2,146,1035,5,473,1505,1612,3914,294,334,189,2,131,1432,5,499,861,1767,3099,284,692,320,2,229,3813,6,410,1554,1107,4974,194,518,124,2,113,639,6,500,1825,1821,3883,389,642,161,2,191,1725,6,319,1531,1546,3200,213,350,357,2,196,1532,6,483,316,1932,3529,333,555,245,2,273,2271,8,241,365,1000,1887,103,286,110,2,195,784,17,1734,11465,7080,9808,1095,1339,974,3,784,13278,18,461,2136,1929,3320,249,641,1436,3,151,2451,22,405,88,1636,2120,241,262,206,2,191,1193,24,321,452,1313,2088,272,317,182,2,183,1705,25,438,1315,1617,3984,257,593,840,3,151,1461,25,256,50,1127,1151,178,205,156,2,163,970,26,508,594,1859,2459,226,448,1048,2,307,3754,26,386,486,1583,3614,230,450,196,3,217,1680,30,845,3029,2520,8307,218,748,326,2,177,1025,30,496,205,1955,2119,363,587,190,2,205,1636,30,560,2252,2337,4531,438,631,1240,2,285,2755,30,632,2424,2663,3339,316,454,287,2,432,3801,32,466,670,1871,2691,246,432,270,2,231,2146,43,474,197,1879,5044,401,1293,287,83,193,1673,45,1023,4024,4006,5996,724,1588,1043,86,433,4205,50,332,452,1473,3121,284,379,151,2,238,1390,55,423,1236,1533,2681,229,599,1470,3,185,3703,60,859,3575,3180,4779,584,993,1529,2,513,4196,144,1361,4397,5922,15559,990,3240,3156,78,838,9773,258,2111,8771,6494,15575,2252,1962,2529,2,1111,9200,346,63712,71773,93021,80732,2913,7537,67399,2756,1845,71231,91692
